date,temperature,humidity,luminosity
2022-11-17 15:05:27.701,13.5,0.0,1571
2022-11-17 15:05:22.658,13.5,0.0,1574
2022-11-17 15:05:17.615,13.6,0.0,1567
2022-11-17 15:05:12.573,13.6,0.0,1575
2022-11-17 15:05:07.530,13.5,0.0,1574
2022-11-17 15:05:02.487,13.6,0.0,1572
2022-11-17 15:04:57.444,13.6,0.0,1577
2022-11-17 15:04:52.401,13.6,0.0,1573
2022-11-17 15:04:47.358,13.6,0.0,1576
2022-11-17 15:04:42.315,13.6,0.0,1573
2022-11-17 15:04:37.272,13.6,0.0,1579
2022-11-17 15:04:32.227,13.6,0.0,1573
2022-11-17 15:04:27.183,13.6,0.0,1579
2022-11-17 15:04:22.141,13.6,0.0,1579
2022-11-17 15:04:17.097,13.5,0.0,1583
2022-11-17 15:04:12.053,13.5,0.0,1598
2022-11-17 15:04:07.011,13.5,0.0,1595
2022-11-17 15:04:01.968,13.5,0.0,1596
2022-11-17 15:03:56.924,13.5,0.0,1597
2022-11-17 15:03:51.879,13.5,0.0,1592
2022-11-17 15:03:46.835,13.5,0.0,1595
2022-11-17 15:03:41.790,13.6,0.0,1590
2022-11-17 15:03:36.747,13.6,0.0,1595
2022-11-17 15:03:31.703,13.5,0.0,1594
2022-11-17 15:03:26.658,13.6,0.0,1596
2022-11-17 15:03:21.615,13.6,0.0,1593
2022-11-17 15:03:16.571,13.5,0.0,1598
2022-11-17 15:03:11.527,13.5,0.0,1592
2022-11-17 15:03:06.484,13.5,0.0,1593
2022-11-17 15:03:01.441,13.6,0.0,1593
2022-11-17 15:02:56.397,13.6,0.0,1568
2022-11-17 15:02:51.353,13.6,0.0,1595
2022-11-17 15:02:46.310,13.6,0.0,1591
2022-11-17 15:02:41.267,13.7,0.0,1593
2022-11-17 15:02:36.223,13.5,0.0,1593
2022-11-17 15:02:31.179,13.7,0.0,1593
2022-11-17 15:02:26.135,13.7,0.0,1597
2022-11-17 15:02:21.091,13.7,0.0,1590
2022-11-17 15:02:16.047,13.8,0.0,1593
2022-11-17 15:02:11.003,13.8,0.0,1593
2022-11-17 15:02:05.959,13.8,0.0,1588
2022-11-17 15:02:00.915,13.8,0.0,1592
2022-11-17 15:01:55.871,13.8,0.0,1594
2022-11-17 15:01:50.827,13.8,0.0,1565
2022-11-17 15:01:45.783,13.9,0.0,1566
2022-11-17 15:01:40.738,13.8,0.0,1571
2022-11-17 15:01:35.695,13.8,0.0,1573
2022-11-17 15:01:30.652,13.9,0.0,1576
2022-11-17 15:01:25.607,13.9,0.0,1585
2022-11-17 15:01:20.564,13.9,0.0,1586
2022-11-17 15:01:15.520,14.1,0.0,1584
2022-11-17 15:01:10.475,13.9,0.0,1119
2022-11-17 15:01:05.430,14.1,0.0,1433
2022-11-17 15:01:00.387,13.9,0.0,1437
2022-11-17 15:00:55.343,14.0,0.0,1441
2022-11-17 15:00:50.298,13.9,0.0,1423
2022-11-17 15:00:45.254,14.0,0.0,1438
2022-11-17 15:00:40.210,14.1,0.0,1477
2022-11-17 15:00:35.165,14.1,0.0,1467
2022-11-17 15:00:30.122,14.2,0.0,1475
2022-11-17 15:00:25.079,14.1,0.0,1457
2022-11-17 15:00:20.035,14.1,0.0,1386
2022-11-17 15:00:14.990,14.0,0.0,1352
2022-11-17 15:00:09.947,14.1,0.0,1278
2022-11-17 15:00:04.903,14.2,0.0,1479
2022-11-17 14:59:59.860,14.1,0.0,1479
2022-11-17 14:59:54.815,14.2,0.0,1478
2022-11-17 14:59:49.771,14.2,0.0,1480
2022-11-17 14:59:44.727,14.2,0.0,1478
2022-11-17 14:59:39.683,14.2,0.0,1479
2022-11-17 14:59:34.640,14.2,0.0,1474
2022-11-17 14:59:29.597,14.3,0.0,1473
2022-11-17 14:59:24.552,14.3,0.0,1478
2022-11-17 14:59:19.509,14.2,0.0,1477
2022-11-17 14:59:14.465,14.3,0.0,1475
2022-11-17 14:59:09.421,14.3,0.0,1478
2022-11-17 14:59:04.377,14.3,0.0,1479
2022-11-17 14:58:59.334,14.3,0.0,1477
2022-11-17 14:58:54.289,14.4,0.0,1475
2022-11-17 14:58:49.246,14.3,0.0,1479
2022-11-17 14:58:44.201,14.4,0.0,1476
2022-11-17 14:58:39.158,14.4,0.0,1475
2022-11-17 14:58:34.115,14.5,0.0,1475
2022-11-17 14:58:29.071,14.4,0.0,1478
2022-11-17 14:58:24.027,14.4,0.0,1478
2022-11-17 14:58:18.983,14.4,0.0,1479
2022-11-17 14:58:13.939,14.5,0.0,1477
2022-11-17 14:58:08.895,14.5,0.0,1469
2022-11-17 14:58:03.852,14.7,0.0,1470
2022-11-17 14:57:58.807,14.7,0.0,1470
2022-11-17 14:57:53.764,14.8,0.0,1470
2022-11-17 14:57:48.720,14.7,0.0,1467
2022-11-17 14:57:43.677,14.8,0.0,1470
2022-11-17 14:57:38.632,14.8,0.0,1470
2022-11-17 14:57:33.590,14.7,0.0,1473
2022-11-17 14:57:28.545,14.8,0.0,1467
2022-11-17 14:57:23.501,14.8,0.0,1466
2022-11-17 14:57:18.457,14.6,0.0,1473
2022-11-17 14:57:13.413,14.7,0.0,1471
2022-11-17 14:57:08.370,14.6,0.0,1469
2022-11-17 14:57:03.327,14.7,0.0,1471
2022-11-17 14:56:58.282,14.8,0.0,1468
2022-11-17 14:56:53.239,14.8,0.0,1472
2022-11-17 14:56:48.195,15.0,0.0,1471
2022-11-17 14:56:43.151,14.7,0.0,201
2022-11-17 14:56:38.108,14.7,0.0,32
2022-11-17 14:56:33.064,14.7,0.0,1453
2022-11-17 14:56:28.019,14.8,0.0,1454
2022-11-17 14:56:22.975,14.8,0.0,1456
2022-11-17 14:56:17.932,14.8,0.0,504
2022-11-17 14:56:12.888,14.7,0.0,650
2022-11-17 14:56:07.844,14.9,0.0,174
2022-11-17 14:56:02.799,14.5,0.0,85
2022-11-17 14:55:57.756,14.4,0.0,413
2022-11-17 14:55:52.712,14.5,0.0,1455
2022-11-17 14:55:47.668,14.5,0.0,1300
2022-11-17 14:55:42.625,14.4,0.0,766
2022-11-17 14:55:37.581,14.4,0.0,391
2022-11-17 14:55:32.537,14.2,0.0,1280
2022-11-17 14:55:27.493,14.2,0.0,1470
2022-11-17 14:55:22.449,14.2,0.0,224
2022-11-17 14:55:17.405,14.2,0.0,735
2022-11-17 14:55:12.361,14.1,0.0,1574
2022-11-17 14:55:07.317,13.8,0.0,1569
2022-11-17 14:55:02.273,13.8,0.0,818
2022-11-17 14:54:57.230,13.6,0.0,803
2022-11-17 14:54:52.186,13.5,0.0,1291
2022-11-17 14:54:47.142,13.6,0.0,1527
2022-11-17 14:54:42.098,13.7,0.0,1533
2022-11-17 14:54:37.054,13.7,0.0,1530
2022-11-17 14:54:32.011,13.8,0.0,1527
2022-11-17 14:54:26.967,13.8,0.0,1526
2022-11-17 14:54:21.924,13.7,0.0,1525
2022-11-17 14:54:16.879,13.7,0.0,1537
2022-11-17 14:54:11.836,13.9,0.0,1537
2022-11-17 14:54:06.793,13.7,0.0,1527
2022-11-17 14:54:01.749,13.8,0.0,513
2022-11-17 14:53:56.705,13.5,0.0,1573
2022-11-17 14:53:51.662,13.4,0.0,28
2022-11-17 14:53:46.617,13.4,0.0,1580
2022-11-17 14:53:41.574,13.5,0.0,1587
2022-11-17 14:53:36.531,13.4,0.0,1587
2022-11-17 14:53:31.487,13.3,0.0,1586
2022-11-17 14:53:26.444,13.3,0.0,1585
2022-11-17 14:53:21.399,13.3,0.0,1589
2022-11-17 14:53:16.356,13.2,0.0,1588
2022-11-17 14:53:11.312,13.3,0.0,1583
2022-11-17 14:53:06.269,13.2,0.0,506
2022-11-17 14:53:01.224,13.1,0.0,1611
2022-11-17 14:52:56.180,13.1,0.0,1604
2022-11-17 14:52:51.135,13.0,0.0,1604
2022-11-17 14:52:46.092,13.0,0.0,1606
2022-11-17 14:52:41.048,13.1,0.0,1606
2022-11-17 14:52:36.003,12.9,0.0,1607
2022-11-17 14:52:30.959,12.9,0.0,1608
2022-11-17 14:52:25.916,12.9,0.0,1606
2022-11-17 14:52:20.871,12.9,0.0,1607
2022-11-17 14:52:15.828,13.0,0.0,1604
2022-11-17 14:52:10.784,13.0,0.0,1607
2022-11-17 14:52:05.740,13.1,0.0,1605
2022-11-17 14:52:00.696,13.1,0.0,1603
2022-11-17 14:51:55.652,13.0,0.0,1608
2022-11-17 14:51:50.607,12.9,0.0,1607
2022-11-17 14:51:45.563,12.9,0.0,1601
2022-11-17 14:51:40.519,12.9,0.0,1604
2022-11-17 14:51:35.475,12.9,0.0,1605
2022-11-17 14:51:30.431,12.9,0.0,1604
2022-11-17 14:51:25.387,12.9,0.0,1602
2022-11-17 14:51:20.343,13.0,0.0,1611
2022-11-17 14:51:15.301,13.0,0.0,1609
2022-11-17 14:51:10.256,13.2,0.0,1585
2022-11-17 14:51:05.213,13.0,0.0,1614
2022-11-17 14:51:00.168,13.1,0.0,1614
2022-11-17 14:50:55.125,13.0,0.0,1613
2022-11-17 14:50:50.081,13.1,0.0,1611
2022-11-17 14:50:45.037,13.1,0.0,1610
2022-11-17 14:50:39.993,13.0,0.0,1611
2022-11-17 14:50:34.949,13.1,0.0,1611
2022-11-17 14:50:29.905,13.1,0.0,1616
2022-11-17 14:50:24.862,13.2,0.0,1616
2022-11-17 14:50:19.818,13.2,0.0,1611
2022-11-17 14:50:14.775,13.0,0.0,1610
2022-11-17 14:50:09.731,13.1,0.0,1613
2022-11-17 14:50:04.686,13.0,0.0,1614
2022-11-17 14:49:59.643,13.1,0.0,1612
2022-11-17 14:49:54.599,13.1,0.0,1610
2022-11-17 14:49:49.555,13.3,0.0,1610
2022-11-17 14:49:44.511,13.1,0.0,1609
2022-11-17 14:49:39.468,13.2,0.0,1611
2022-11-17 14:49:34.423,13.1,0.0,1608
2022-11-17 14:49:29.379,13.2,0.0,1609
2022-11-17 14:49:24.337,13.1,0.0,1611
2022-11-17 14:49:19.293,13.2,0.0,1608
2022-11-17 14:49:14.249,13.2,0.0,1610
2022-11-17 14:49:09.204,13.1,0.0,1606
2022-11-17 14:49:04.160,13.2,0.0,1609
2022-11-17 14:48:59.116,13.1,0.0,1606
2022-11-17 14:48:54.072,13.1,0.0,1611
2022-11-17 14:48:49.028,13.0,0.0,1609
2022-11-17 14:48:43.985,13.1,0.0,1604
2022-11-17 14:48:38.942,13.1,0.0,1610
2022-11-17 14:48:33.899,13.0,0.0,1606
2022-11-17 14:48:28.856,12.8,0.0,1611
2022-11-17 14:48:23.813,13.0,0.0,1609
2022-11-17 14:48:18.770,12.9,0.0,1609
2022-11-17 14:48:13.725,13.1,0.0,1607
2022-11-17 14:48:08.681,13.1,0.0,1611
2022-11-17 14:48:03.638,13.0,0.0,1605
2022-11-17 14:47:58.594,13.1,0.0,1614
2022-11-17 14:47:53.549,13.0,0.0,1617
2022-11-17 14:47:48.504,13.0,0.0,1613
2022-11-17 14:47:43.460,13.0,0.0,1615
2022-11-17 14:47:38.415,13.0,0.0,1615
2022-11-17 14:47:33.370,13.0,0.0,1610
2022-11-17 14:47:28.327,13.1,0.0,1614
2022-11-17 14:47:23.282,13.0,0.0,1616
2022-11-17 14:47:18.240,13.0,0.0,1613
2022-11-17 14:47:13.196,13.0,0.0,1615
2022-11-17 14:47:08.152,12.9,0.0,1613
2022-11-17 14:47:03.109,13.1,0.0,1614
2022-11-17 14:46:58.065,13.1,0.0,1616
2022-11-17 14:46:53.021,12.8,0.0,1612
2022-11-17 14:46:47.978,13.1,0.0,1614
2022-11-17 14:46:42.933,13.1,0.0,1609
2022-11-17 14:46:37.888,13.0,0.0,1614
